GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
P30968,544440,IC50,0.7,CC(C)C(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4c(cccc4F)F)C(=O)OC(C)C)CN(C)Cc5ccccc5.Cl
P30968,297938,Ki,-2.63,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C)CN(C)CCOC)c4cccc(c4)OC
P25100,59590,Ki,-10,Cc1ccc(cc1)C(c2ccc(cc2)C)(C(=O)NCCCN3CCC(CC3)(C#N)c4ccccc4C)O
P30556,26548,IC50,-10,CCCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4c5n[nH]nn5)S(=O)(=O)C
P30968,1800150,IC50,0.52,CN(CCOC)Cc1c2c(=O)n(c(=O)n(c2sc1c3ccc(cc3)NC(=O)NOC)Cc4c(cccc4F)F)CCO
P30968,22653,Ki,-0.65,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)NC3CCCC3)c4cccc(c4F)OC
P30968,468565,IC50,-1,CCc1[nH]c(c(n1)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C)C
P30968,419212,Ki,-3.26,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CN(C)CCc3ccccn3)c4cccc(c4)OC
P30968,168726,IC50,0.05,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nc([nH]7)C(F)(F)F)C
Q8TDS4,428724,IC50,-10,c1ccc(c(c1)C(=O)O)NC(=O)CCc2ccc(cc2)c3ccc[nH]3
P30968,359868,IC50,-4,c1ccc(cc1)Cn2c3ccc(cc3nc2CCN)S(=O)(=O)NCc4ccc(cc4)F
P30968,191817,Ki,-0.72,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)F
P30968,292291,IC50,0.3,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(C)Cc5ccccc5
P30968,299335,Ki,-3.81,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C)CNCC4CCCC4)c5cccc(c5)OC
P30968,280664,Ki,-1.11,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)NCc3nccs3)c4cccc(c4F)OC
P30968,405548,Ki,0.85,CC(C)C[C@H]1C(=O)N[C@@H]2CCNC(=O)CNC(=O)CC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN=C(N)N)NC(=O)[C@H](CC(=O)NC[C@H](NC(=O)[C@@H]3CCCN3C2=O)C(=O)N)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@@H](Cc5ccc(cc5)Cl)NC(=O)[C@@H](Cc6ccc7ccccc7c6)NC(=O)C
P30968,364842,Ki,-0.95,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)Cc5ccccc5
P30968,180076,Ki,-0.26,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)NC)c4cccc(c4F)OC
P30968,250389,IC50,-2.26,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)C(=O)N7CCC(CC7)OC)C
P30968,429062,Ki,-3.15,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc(cc4)COC
P30968,169238,IC50,0.52,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nco7)C
P29274,1834625,Ki,-10,Cn1cc2c(n1)nc(n3c2nc(n3)c4ccc(cc4)c5ccccc5)NC(=O)Nc6ccccc6
P30968,413062,IC50,-2.04,CC(C)(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(cc4)F
P30968,124056,Ki,-0.9,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4cccc(c4)CNc5nccc(n5)NC[C@@H]6CCCO6)C(CCC2(C)C)(C)C
P25103,302843,IC50,-10,CC(C)(C)OC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@H](Cc1cn(c2c1cccc2)C=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)OCCc4ccccc4
P30968,177523,Ki,-1.45,COc1cccc(c1)n2c(=O)n(c(=O)n(c2=O)CC(CN)c3ccccc3)Cc4c(cccc4F)F
P30968,121367,Ki,-1.9,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4cccc(c4)CNc5nccc(n5)N6CCOCC6)C(CCC2(C)C)(C)C
P30968,120149,Ki,-1.76,CC(C)C[C@@H](C(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6)N
P30968,435167,IC50,-1.41,CCNC(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6
P30968,235301,Ki,-4,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCNC3
Q13639,35195,Ki,-10,CCCCN1CCC(CC1)COc2c3c(c4ccccc4n2)NCCCC3
P30968,64066,Ki,-3.58,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCNCCc3c[nH]cn3)c4cccc(c4)OC
P30968,23969,Ki,-1.63,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)NCc3ccccn3)c4cccc(c4F)OC
P30968,378481,IC50,-0.95,CC(C)C(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)CN)CN(C)Cc4ccccc4)Cc5c(cccc5F)F
P30968,120420,Ki,-1.87,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCC4CCC(CC4)CNc5nccc(n5)NCC6CCCO6)C(CCC2(C)C)(C)C
P30968,86950,IC50,-0.68,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5(CC4CC(C5)(C)C)C)[C@H](C)CNCCCCc6ccncc6)C
P30968,361124,Ki,-4,COc1cccc(c1F)n2c(=O)n(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)CC4CCCCC4
P30968,408760,Ki,-2.86,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)N[C@@H](C(C)C)C(=O)NCC#Cc6ccc(cc6)C#CCNC(=O)[C@H](C(C)C)NC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P24530,79054,IC50,-10,Cc1c(noc1NS(=O)(=O)c2ccc(cc2Cl)Cl)C
P30968,466531,Ki,-1.15,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)C4=CC=C(C4=C)Cl
P30968,73526,Ki,-3.23,Cc1c(c(=O)n(c(=O)n1CCOC)C[C@@H](c2ccccc2)N)c3ccccc3F.C(=O)(C(F)(F)F)O
P30968,115192,IC50,-0.91,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccnc(c6)C(=O)O)C
P30968,434936,Ki,0.22,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)C(F)(F)F
P30968,23729,Ki,-1.71,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)NCc3ccccc3)c4cccc(c4F)OC
P30968,23321,Ki,-1.85,Cc1ccccc1CNC[C@@H](C)n2c(=O)c(c(n(c2=O)Cc3c(cccc3F)F)C)c4cccc(c4)OC
P30968,130855,Ki,-5.6,CC(C)OC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)C#N)Cc5ccccc5F
P30968,168655,IC50,-0.32,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCc6cncc7c6cccc7)C
P30968,180421,Ki,-2.9,COc1cccc(c1)n2c(=O)n(c(=O)n(c2=O)Cc3c(cccc3F)F)CCC(c4ccccc4F)N
P30968,185738,IC50,-0.15,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4cnsn4)OCC[C@H]5CCC(=O)N5C
P30968,211485,IC50,0.05,CCC(C(=O)Nc1ccc(cc1)c2c(c3c(=O)c(cn(c3s2)Cc4c(cccc4F)F)C(=O)C(C)C)CN(C)Cc5ccccc5)O
P30968,260062,Ki,-0.78,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CC(C)NCc3nccs3)c4cccc(c4F)OC
P30968,86431,IC50,-0.15,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C[C@H]5CCCC[C@H]5C4)[C@H](C)CNCCCCc6ccncc6)C
P30968,112287,Ki,-1.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CC(C)N(C)CCc3ccccn3)c4cccc(c4)OC
P25025,403497,IC50,-10,CCN(CC)S(=O)(=O)NC(=O)CCCc1c2cc(ccc2[nH]c1c3ccc(cc3)F)C#N
P30968,365561,Ki,-0.41,Cc1ccc(c(c1)Cl)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)C(F)(F)F
P30968,339468,Ki,-1.23,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)Cc4ccccc4)C(=O)NCCCc5ccccc5)Cc6ccccc6F
P30968,360047,Ki,-1.38,COc1cccc(c1F)n2c(=O)n(c(=O)n(c2=O)Cc3c(cccc3F)F)CC[C@@H](c4ccccc4)N
P30968,113068,Ki,-2.28,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCC(C)C)c3cccc(c3)OC
P30968,132387,Ki,-3.41,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)C#N)Cc5ccccc5
P30968,273390,IC50,-0.79,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CCN(CC4)C(=O)OC(C)(C)C)[C@H](C)CNCCCCc5ccncc5)C
P30968,131665,Ki,-4.52,CN(CCc1ccccn1)Cc2c(c(c3n2c(=O)c(cn3Cc4ccccc4F)C(=O)OC5CCCC5)C#N)c6ccc(cc6)OC7CCCC7
P30968,180124,Ki,-1.66,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C3CCCCC3)N)c4cccc(c4F)OC
P30968,325417,IC50,-0.66,CCCc1cc(ccn1)CCNC[C@@H](C)c2c3cc(ccc3[nH]c2c4cc(cc(c4)C)C)C(C)(C)C(=O)N5CC6CCC5CC6
P30968,117396,Ki,-1.2,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](Cc3ccccc3)N)c4cccc(c4F)OC
P30968,526327,Ki,-1.34,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)NCCCC(=O)O)Cc4c(cccc4F)F
P30968,175443,Ki,-1.93,COc1cccc(c1F)n2c(=O)n(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4ccccc4C#N
P30968,494548,IC50,-2.85,Cc1ccc(o1)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30968,235302,Ki,-4,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccncc5
P30968,175869,Ki,-1.92,COc1cccc(c1)n2c(=O)n(c(=O)n(c2=O)Cc3c(cccc3F)F)CCC(c4ccc(cc4)F)N
P30968,450471,Ki,-0.53,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4ccccc4Cl)NCCCC(=O)O
P30968,370414,IC50,-2.32,CCCCCn1c2ccc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C
P08908,24222,Ki,-10,COc1cccc2c1CC[C@@H]3[C@@H]2CCN3CC=C
P30968,183325,IC50,-2.18,CC(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(cc4)F
P30968,363659,Ki,-2.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)C
P30968,378654,IC50,-2.48,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)OC)CN(C)Cc4ccccc4)Cc5ccc(cc5)OC
P30968,368153,Ki,-2.26,COc1cccc(c1)n2c(=O)n(c(=O)n(c2=O)Cc3c(cccc3F)F)CCC(c4ccccc4Cl)N
P30968,116611,Ki,-2.85,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCC4CCNCC4)C(CCC2(C)C)(C)C
P30968,250569,IC50,-0.3,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNC(=O)N6CCC(C6)c7ccccc7)C
P30968,236348,Ki,-4,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCCN5)C2
P30968,168538,IC50,0.52,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nc[nH]7)C
P30968,459659,IC50,-0.79,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5cccc6c5[nH]c(=S)[nH]6
P30968,116259,Ki,-1.59,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](CC(C)C)N)c3cccc(c3F)OC
P30968,178127,Ki,-1.8,Cc1c(c(=O)n(c(=O)n1Cc2ccc(cc2)F)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,540109,IC50,0.7,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)C(C)C)CN(C)Cc4ccccc4)Cc5c(cccc5F)F.Cl
P30968,468564,IC50,-4.61,CCCn1c2c(cc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C)C(NC)O
P30968,311407,Ki,-1.89,Cc1c(c(=O)n(c(=O)n1Cc2ccccn2)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,10931,IC50,-2.55,Cc1cc(cc(c1)c2c(c3ccccc3[nH]2)CCNCCCCc4ccc(cc4)O)C
P30968,436472,IC50,-2.69,CC(C)(C)NC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccccc4
P30968,334063,Ki,-2,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OCC(C)C)C#N)Cc5ccccc5F
P25025,84752,IC50,-10,COc1ccc(cc1)Cn2c(nc(n2)c3ccc(cc3Cl)Cl)S
P30968,322283,Ki,-4.26,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)N)c3cccc(c3)OC
Q9Y5N1,470599,Ki,-10,c1cc(ccc1CN2CC[C@H](C2)F)OCCCN3CCCCC3
Q99705,214684,Ki,-10,COc1cc(cc(c1)OC)C(=O)NC2CCN(CC2)Cc3ccccc3
P30968,279885,Ki,-2.3,CCC(CC)N[C@@H](C)Cn1c(=O)c(c(n(c1=O)Cc2c(cccc2F)F)C)c3cccc(c3F)OC
P30968,1800159,IC50,0.48,CN(C)Cc1c2c(=O)n(c(=O)n(c2sc1c3ccc(cc3)NC(=O)NOC)Cc4c(cccc4F)F)c5ccc(nn5)OC
P30968,236197,Ki,-3.38,c1ccnc(c1)CCN2CCCC[C@H]2Cn3c(=O)c4c(n(c3=O)Cc5c(cccc5F)F)CCN(C4)Cc6ccc(cc6)Cl
P30968,362544,IC50,0.1,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4ccncn4)OCC[C@@H]5CCCN5
P30968,262787,Ki,-4.48,CCCC(=O)Nc1ccc(cc1)c2cn3c(=O)c(cn(c3n2)Cc4ccccc4F)C(=O)OCC
P30968,436346,IC50,-2.85,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)OC)Cc5c(cccc5F)F)C6CCCCC6
P30968,179531,Ki,-0.66,Cc1c(c(=O)n(c(=O)n1Cc2ccccc2Br)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,297491,Ki,-0.66,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccccn5)c6cccc(c6)OC
P30968,112730,Ki,-3.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CN(C)Cc3ccccc3)c4cccc(c4)OC
P30968,181582,Ki,-2.94,COc1cccc(c1)c2c(=O)n(c(=O)n3c2OCC3c4ccccc4)CC(c5ccccc5)N
P30968,196040,IC50,-1.63,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2Cc3ccccn3)SCc4cc(ccc4OC)[N+](=O)[O-]
P30968,332570,Ki,-2.18,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)NC(=O)CN)Cc5c(cccc5F)F)c6ccccc6
P30968,507973,IC50,-3.11,Cc1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)CCOc5cccc6c5[nH]c(=S)[nH]6
P30968,115703,Ki,0.22,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C3CCCC3)N(C)C)c4cccc(c4F)OC
P30968,408746,Ki,0.15,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)C(C)CNCCCCc6ccnnc6)C
P30968,176270,Ki,-2.94,Cc1c(c(=O)n(c(=O)n1CCc2ccccc2)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,438201,Ki,-1.62,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)c5ccc(cc5)F
P30968,1800669,IC50,0.7,CN(CCOC)Cc1c2c(=O)n(c(=O)n(c2sc1c3ccc(cc3)NC(=O)NOC)Cc4c(cccc4F)F)CCOC
P30968,209880,IC50,-3.3,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)OC)CNCc4ccccc4)Cc5ccccc5OC
P30968,410680,Ki,-3.51,c1cc(c(c(c1)F)Cn2c3c(c(=O)n(c2=O)CC(CC4CCCCC4)N)CN(CC3)Cc5ccc(cc5)Cl)F
P08908,24161,Ki,-10,COc1cccc2c1[C@@H]3CN([C@@H]3CC2)CC=C
P30968,360297,IC50,-2.84,CCNC(=O)NCCc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(cc4)F
P30968,359754,Ki,-0.71,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccc5c(c4)OCCO5
P30968,132661,Ki,-3.93,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)C#N)Cc5ccccc5Cl
P30968,426783,Ki,-0.45,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccccc4Cl
P30968,437260,Ki,-3.72,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)N[C@@H](C)C(=O)NCC#Cc6cccc(c6)C#CCNC(=O)[C@H](C)NC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P30968,331277,Ki,-1.38,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NC[C@@H]4CC[C@H](CC4)C(=O)OC)C(CCC2(C)C)(C)C
P30968,260647,Ki,-2.41,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)N6CCC[C@H]6C(=O)NCC#Cc7ccccc7
P30968,236342,Ki,-2.26,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CCN(C)Cc5ccccn5)C2
P30968,23337,Ki,-1.9,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)NCCc3ccccn3)c4cccc(c4)OC
P30968,128810,Ki,-1.32,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)CCc4ccccn4)C(=O)NC(CC)CC)Cc5ccccc5F
P30968,192096,Ki,-0.91,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4cccc(c4F)OCC(F)(F)F)N
P30968,291893,IC50,-1.3,CCOC(=O)c1cn(c2nc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)NC(=O)c5ccccc5)Cc6c(cccc6F)F
P35348,494156,IC50,-10,CN(CCCN1CCC2(CC1)c3ccccc3CO2)C(=O)C(c4ccc(c(c4)F)F)n5cnnn5
P30968,351836,IC50,0.15,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nc([nH]7)CO)C
P30968,399856,IC50,-1.74,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CN/C(=N/C(=O)OC(C)C)/N6CCC(C6)c7ccncc7)C
P30968,52506,Ki,-0.9,CCN(CCc1ccccn1)Cc2c(nc3n2c(=O)c(c(n3Cc4ccccc4F)C)c5cccc(c5)OC)C(C)(C)C
P35372,606731,IC50,-10,CC(=O)Oc1ccc2c(c1)[C@@H]3[C@@H]4CCCN4[C@@H](C2)C5C3=CC(=CC5)OC(=O)C
P30968,121441,Ki,-1.2,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)NC(=O)C(F)(F)F)Cc5c(cccc5F)F)c6ccccc6
Q92847,211581,IC50,-10,CC(=O)Nc1ccc(cc1)c2c(nc(nc2N)N)COCc3ccccc3
P30968,50856,Ki,-1.77,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C(=O)OC)CN(C)Cc4ccccc4)c5cccc(c5)OC
P30968,326504,IC50,-0.81,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C3CCCCC3)N)c4cccc(c4F)OC
P30968,402671,IC50,-0.27,CC(C)C[C@@H](C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(=O)O)NC(=O)[C@@H](Cc2ccc(cc2)NC(=O)N)NC(=O)[C@H](Cc3ccc(cc3)NC(=O)[C@@H]4CCC(=O)N4)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc5cccnc5)NC(=O)[C@@H](Cc6ccc(cc6)Cl)NC(=O)[C@@H](Cc7ccc8ccccc8c7)NC(=O)C
P30968,177182,Ki,-1.82,COc1cccc(c1F)n2c(=O)n(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4cccnc4Cl
P30968,436697,Ki,-3.52,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)ccn(c3n2)Cc4c(cccc4F)F)CN(Cc5ccccc5)CC(=O)N[C@@H](C(C)C)C(=O)NCC#Cc6ccccc6C#CCNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P30968,447592,Ki,-1.72,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OCC(=O)O
P30968,183698,IC50,-2.45,CCSc1nc2cc(ccc2n1Cc3ccccc3)S(=O)(=O)NCc4ccc(cc4)Cl
P30968,403081,Ki,-1.52,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](C)NC3CCCC3)c4cccc(c4F)OC
P30968,441207,IC50,-1,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)C6CCC(=O)N6
P25105,312130,IC50,-10,c1ccc2c(c1)C=C(N3C2=NCC3)c4ccc(cc4)F
P30968,117736,Ki,-1.6,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NC[C@H]4CC[C@H](CC4)CN=C(N)N)C(CCC2(C)C)(C)C
P30968,277439,Ki,-1.91,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccccc4F
P30968,373340,IC50,-1.45,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2Cc3ccccc3)SCc4cc(ccc4OC)[N+](=O)[O-]
P30518,601929,Ki,-10,CN1CCCN(CC1)C(=S)[C@@H]2CCCN2C(=O)NCc3ccc(c(c3)Cl)C(=O)N4Cc5cccn5Cc6c4cccc6
P30968,362025,Ki,-2.36,c1ccc(cc1)C(Cn2c(=O)c(c3n(c2=O)C(CO3)c4ccccc4F)c5ccccc5F)N
P30968,327076,Ki,-1.36,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C3CCCCC3)NC(C)C)c4cccc(c4F)OC
Q99705,385535,Ki,-10,COc1cc(cc(c1)OC)C(=O)NC2CCN(CC2)Cc3ccc(c(c3)Cl)Cl
P30968,434621,Ki,-2.8,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)CCc4ccccn4)C(=O)NCCOC)Cc5ccccc5F
Q15722,108094,IC50,-10,c1ccc(cc1)CCCc2ccsc2CCCCC(=O)O
P30968,293921,IC50,0.52,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OC(C)C)CN(C)Cc5ccccc5
P30968,266172,Ki,-2.97,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)N6CCC[C@H]6C(=O)NCC#Cc7cccc(c7)C#CCNC(=O)[C@@H]8CCCN8C(=O)CN(Cc9ccccc9)Cc1c(nc2n1c(=O)c(cn2Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
