GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
P30968,260540,Ki,-3.28,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCNCC5)C2
P30968,426780,Ki,0.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)N(C)Cc3ccccn3)c4cccc(c4F)OC
P30968,212121,IC50,0.7,CC(C)C(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)C(C)(C)O)CN(C)Cc4ccccc4)Cc5c(cccc5F)F
P30968,187243,Ki,-1.67,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)c5ccc(cc5)C(F)(F)F
P30968,73454,Ki,-2.63,Cc1ccc(o1)Cn2c(c(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)c4ccccc4F)C.C(=O)(C(F)(F)F)O
P30968,236967,Ki,-2.69,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCN(C5)Cc6ccccn6)C2
P30968,292773,IC50,-0.48,CCOC(=O)c1cn(c2nc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)NC(=O)C=C)Cc5c(cccc5F)F
P30968,333574,Ki,-1.15,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4cccc(c4)CNc5ncc(c(n5)NCC6CCCO6)C)C(CCC2(C)C)(C)C
P30968,68664,Ki,-2.98,CCOC(=O)c1cn(c2nc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)OC)Cc5ccccc5F
P30968,363094,Ki,-2.76,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@H](c3ccccc3)N)Cc4c(cccc4F)F
P30968,361128,Ki,-1.18,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](c3ccccc3)N(C)C)c4cccc(c4F)OC
P30968,110052,Ki,-2.4,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCc3ccc(cc3)F)c4cccc(c4)OC
P35372,306016,IC50,-10,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccc(cc2)O)NC
